,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
101,Kia Seltos -,Pune,1764199,20547, Petrol ,2019,Kia
102,Maruti Suzuki Baleno,Pune,639199,34731, Petrol ,2016,Maruti
103,Hyundai Grand i10,Pune,522999,30536, Petrol ,2016,Hyundai
104,MG Motors Hector,Bangalore,1917599,10205, Diesel ,2019,MG
105,Maruti Suzuki Wagon,Pune,466599,25483, Petrol ,2017,Maruti
106,Toyota Corolla Altis,Pune,1397699,39113, Petrol ,2017,Toyota
107,Maruti Suzuki Ignis,Pune,504399,43152, Petrol ,2017,Maruti
108,MG Motors Hector,Pune,1920399,5325, Petrol ,2020,MG
109,Ford Ecosport -,Pune,917599,44705, Petrol ,2018,Ford
110,Toyota Etios -,Pune,319099,70022, Petrol ,2011,Toyota
111,Maruti Suzuki Celerio,Pune,484399,47435, Petrol ,2017,Maruti
112,Volkswagen Polo HIGHLINE1.2L,Chennai,290000,89000, Petrol,2010,Volkswagen
113,Mahindra Thar DI,Chennai,1790000,9826, Petrol,2021,Mahindra
114,Ford EcoSport Trend,Chennai,650000,83000, Diesel,2017,Ford
115,Honda City 1.5,Lucknow,73000,195000, Petrol ,2001,Honda
116,Toyota Innova Crysta,Chennai,2200000,35000, Diesel,2019,Toyota
117,Hyundai Verna 1.6,Coimbatore,1550000,13000, Petrol ,2022,Hyundai
118,Mahindra e2o T2,Bangalore,420000,46000, Electric ,2016,Mahindra
119,Toyota Fortuner 4x4,Kolkata,1595000,72000, Diesel ,2015,Toyota
120,Hyundai Xcent -,Pune,573499,29026, Petrol ,2016,Hyundai
121,Hyundai Creta 1.6,Pune,879199,59258, Petrol ,2015,Hyundai
122,Mahindra XUV 500,Pune,733399,120399, Diesel ,2014,Mahindra
123,Maruti Suzuki Vitara,Pune,967599,28853, Diesel ,2018,Maruti
124,Honda City -,Pune,1539299,9811, Petrol ,2020,Honda
125,Hyundai i20 Active,Pune,561499,43538, Petrol ,2015,Hyundai
126,Hyundai Creta -,Pune,1042699,66400, Petrol ,2017,Hyundai
127,Maruti Suzuki S,Pune,1032099,59341, Diesel ,2017,Maruti
128,Hyundai Creta -,Pune,903499,56246, Petrol ,2016,Hyundai
129,Honda Amaze -,Pune,472499,35944, Petrol ,2014,Honda
130,Honda WR V,Pune,771299,17699, Petrol ,2018,Honda
