,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
373,Hyundai Getz GLS,Bangalore,155000,82000, Petrol,2005,Hyundai
374,Maruti Suzuki Swift,Chennai,350000,57000, Petrol,2011,Maruti
375,Honda Amaze 1.5,Pune,410000,71000, Diesel,2014,Honda
376,Hyundai Eon Era,Pune,275000,47000, CNG,2014,Hyundai
377,Hyundai Grand i10,Pune,465000,37000, Petrol,2017,Hyundai
378,Maruti Suzuki Zen,Bangalore,145000,73000, Petrol,2007,Maruti
379,Hyundai Getz GLS,Bangalore,165000,82650, Petrol,2007,Hyundai
380,Maruti Suzuki Vitara,Pune,910799,23940, Petrol ,2020,Maruti
381,Renault Captur -,Chennai,722899,26678, Petrol ,2018,Renault
382,Honda WR V,Pune,809499,41342, Diesel ,2018,Honda
383,Maruti Suzuki Alto,Bangalore,297399,59614, Petrol ,2013,Maruti
384,Maruti Suzuki Alto,Bangalore,411999,39550, Petrol ,2016,Maruti
385,Renault Triber -,Bangalore,623399,28621, Petrol ,2019,Renault
386,Honda Brio -,Bangalore,372399,60437, Petrol ,2013,Honda
387,Maruti Suzuki Wagon,Chennai,518099,26598, Petrol ,2018,Maruti
388,Honda Amaze -,Chennai,485599,62723, Petrol ,2015,Honda
389,Maruti Suzuki Baleno,Chennai,636899,21145, Petrol ,2017,Maruti
390,Hyundai Grand i10,Pune,396999,48699, Petrol ,2013,Hyundai
391,Ford Ecosport -,Pune,980399,10102, Petrol ,2019,Ford
392,Maruti Suzuki Baleno,Bangalore,658999,34881, Petrol ,2017,Maruti
393,Hyundai EON D,Bangalore,304099,53997, Petrol ,2015,Hyundai
394,Maruti Suzuki Alto,Bangalore,362599,49076, Petrol ,2015,Maruti
395,Maruti Suzuki Alto,Bangalore,344199,65951, Petrol ,2014,Maruti
396,Maruti Suzuki Swift,Bangalore,215000,116000, Petrol,2007,Maruti
397,Skoda Rapid 1.5,Bangalore,550000,136000, Diesel ,2015,Skoda
398,Renault Duster 110PS,Pune,550000,85000, Diesel,2013,Renault
399,Hyundai Santro -,Chennai,89000,85000, Petrol,2002,Hyundai
400,Maruti Suzuki Alto,Chennai,79000,85000, Petrol,2001,Maruti
401,Chevrolet Aveo -,Chennai,67000,63000, Petrol,2007,Chevrolet
402,Ford Ikon -,Chennai,59000,73000, Petrol,2009,Ford
403,Maruti Suzuki Wagon,Chennai,69000,85000, Petrol,2007,Maruti
404,Maruti Suzuki Alto,Bangalore,462399,15032, Petrol ,2017,Maruti
405,Maruti Suzuki Alto,Pune,319999,15575, Petrol ,2017,Maruti
406,Maruti Suzuki Swift,Pune,275699,147819, Diesel ,2010,Maruti
407,Hyundai Grand i10,Bangalore,501599,35203, Petrol ,2016,Hyundai
408,Maruti Suzuki Eeco,Bangalore,506599,7597, Petrol ,2020,Maruti
409,Mahindra Scorpio S5,Bangalore,1198599,34883, Diesel ,2018,Mahindra
410,Ford Ecosport -,Bangalore,775499,59580, Diesel ,2017,Ford
411,Maruti Suzuki Ritz,Bangalore,338999,49647, Petrol ,2011,Maruti
412,Hyundai Verna Fluidic,Bangalore,652699,67577, Petrol ,2016,Hyundai
413,Tata Tiago -,Bangalore,535899,10890, Petrol ,2017,Tata
414,Maruti Suzuki Swift,Chennai,492099,57444, Petrol ,2015,Maruti
415,Honda City -,Bangalore,885999,33598, Petrol ,2017,Honda
416,Ford Freestyle -,Bangalore,694899,17804, Petrol ,2018,Ford
417,Maruti Suzuki Swift,Pune,450599,62613, Petrol ,2013,Maruti
418,Hyundai i20 Asta,Bangalore,377999,56974, Petrol ,2010,Hyundai
419,Datsun Redi GO,Bangalore,491499,1405, Petrol ,2021,Datsun
420,Maruti Suzuki Omni,Chennai,89000,85000, Petrol,2008,Maruti
421,Hyundai Creta 1.6,Bangalore,1865000,8000, Petrol,2020,Hyundai
422,Datsun GO T,Kolkata,235000,29000, Petrol,2014,Datsun
423,Mahindra Bolero B6,Bangalore,1025000,22000, Diesel,2020,Mahindra
424,Volkswagen Polo GT,Pune,450000,118000, Petrol,2014,Volkswagen
425,Hyundai Creta 1.6,Pondicherry,1575000,23000, Diesel,2020,Hyundai
426,Maruti Suzuki Swift,Pondicherry,695000,34000, Diesel,2018,Maruti
427,Honda Civic 1.8V,Hyderabad,295000,87000, Petrol,2008,Honda
428,Hyundai Verna -,Pune,1171199,36965, Petrol ,2018,Hyundai
429,Honda WR V,Pune,625699,25526, Petrol ,2017,Honda
430,Hyundai Grand i10,Chennai,453199,20235, Petrol ,2016,Hyundai
431,Maruti Suzuki Vitara,Chennai,850499,61064, Diesel ,2018,Maruti
432,Maruti Suzuki Ignis,Chennai,548699,12558, Petrol ,2018,Maruti
433,Maruti Suzuki Alto,Bangalore,498799,14179, Petrol ,2019,Maruti
434,Honda City VX,Chennai,1377199,20379, Petrol ,2020,Honda
435,Ford Ecosport -,Pune,772799,42837, Petrol ,2017,Ford
436,Hyundai Elite i20,Chennai,572599,67473, Petrol ,2016,Hyundai
437,Honda City V,Bangalore,774899,27576, Petrol ,2016,Honda
438,Maruti Suzuki S,Pune,885099,80900, Diesel ,2017,Maruti
439,Hyundai Elite i20,Bangalore,687499,100934, Diesel ,2017,Hyundai
440,Hyundai Elite i20,Bangalore,567799,29060, Petrol ,2015,Hyundai
441,Hyundai i10 Magna,Chennai,398499,36129, Petrol ,2016,Hyundai
442,Maruti Suzuki Swift,Pune,348499,156442, Diesel ,2011,Maruti
443,Maruti Suzuki Wagon,Chennai,520899,48710, Petrol ,2018,Maruti
444,Ford Figo Diesel,Bangalore,225000,80000, Diesel,2012,Ford
445,Honda City SV,Bangalore,725000,57000, Petrol,2015,Honda
446,Honda CRV -,Hyderabad,240000,97000, LPG,2004,Honda
447,Honda Amaze 1.2,Pune,425000,44000, Petrol,2013,Honda
448,Maruti Suzuki Swift,Pune,500000,57000, Petrol,2015,Maruti
449,Maruti Suzuki Swift,Pune,250000,77000, Petrol,2008,Maruti
450,Maruti Suzuki Ritz,Pune,360000,81000, Petrol,2013,Maruti
451,Hyundai Creta 1.6,Pune,975000,41000, Petrol,2016,Hyundai
452,Ford Ecosport -,Pune,916799,20619, Petrol ,2018,Ford
453,Maruti Suzuki Wagon,Pune,480999,51149, Petrol + CNG ,2018,Maruti
454,Tata Nexon -,Bangalore,1043299,12978, Petrol ,2020,Tata
455,Honda City V,Bangalore,787399,40025, Petrol ,2016,Honda
456,Hyundai Grand i10,Bangalore,501599,63075, Petrol ,2016,Hyundai
457,Honda Brio -,Chennai,362999,78724, Petrol ,2012,Honda
458,Renault Kwid -,Pune,403199,12257, Petrol ,2018,Renault
459,Hyundai Venue -,Bangalore,1022599,26890, Diesel ,2019,Hyundai
460,Nissan Micra Active,Chennai,483199,20485, Petrol ,2018,Nissan
461,Hyundai EON Era,Chennai,321399,69220, Petrol ,2017,Hyundai
462,Maruti Suzuki Alto,Chennai,307999,41900, Petrol ,2017,Maruti
463,Maruti Suzuki Eeco,Bangalore,478599,11944, Petrol ,2019,Maruti
464,Maruti Suzuki Wagon,Chennai,405199,66143, Petrol ,2015,Maruti
465,Maruti Suzuki Alto,Chennai,314999,16563, Petrol ,2018,Maruti
466,Hyundai Elite i20,Pune,684599,14460, Petrol ,2016,Hyundai
467,Maruti Suzuki Alto,Bangalore,413099,47120, Petrol ,2018,Maruti
468,Chevrolet Cruze LTZ,Bangalore,345000,115000, Diesel,2011,Chevrolet
469,Renault Scala RxZ,Bangalore,385000,79200, Diesel,2013,Renault
470,Hyundai Verna 1.6,Chennai,690000,48877, Diesel,2016,Hyundai
471,Honda WRV VX,Mumbai,825000,32000, Petrol,2019,Honda
472,Toyota Corolla Altis,Mumbai,1425000,51000, Petrol,2018,Toyota
473,Maruti Suzuki Alto,Udaipur,295000,56000, Petrol,2014,Maruti
474,Tata Tiago Revotorq,Pune,700000,14000, Petrol,2022,Tata
475,Chevrolet Aveo -,Chennai,69000,79000, Petrol,2006,Chevrolet
476,Maruti Suzuki Swift,Chennai,501199,147960, Diesel ,2016,Maruti
477,Maruti Suzuki Wagon,Pune,357399,38766, Petrol ,2014,Maruti
478,Maruti Suzuki Eeco,Bangalore,494199,8409, Petrol ,2019,Maruti
479,Renault Kwid RxL,Bangalore,424099,20718, Petrol ,2019,Renault
480,Maruti Suzuki Baleno,Chennai,598299,51125, Petrol ,2017,Maruti
481,Hyundai Grand i10,Bangalore,477599,64459, Petrol ,2014,Hyundai
482,Maruti Suzuki Swift,Pune,447599,29467, Petrol ,2014,Maruti
483,Tata Nexon -,Pune,703999,18019, Petrol ,2017,Tata
484,Maruti Suzuki Celerio,Chennai,416099,40710, Petrol ,2016,Maruti
485,Maruti Suzuki S,Chennai,559099,1956, Petrol ,2021,Maruti
486,Renault Kwid -,Bangalore,463099,44696, Petrol,2017,Renault
487,Hyundai Grand i10,Bangalore,527099,21531, Petrol ,2018,Hyundai
488,Kia Seltos -,Pune,1517999,20989, Petrol ,2019,Kia
489,Hyundai i20 -,Chennai,431099,33901, Petrol ,2013,Hyundai
490,Hyundai Grand i10,Chennai,539799,54696, Petrol ,2018,Hyundai
491,MG Motors Hector,Bangalore,1800299,11292, Diesel ,2019,MG
492,Renault Duster 110,Pune,1025000,14000, Diesel,2020,Renault
493,Mahindra Logan -,Chennai,129000,97000, Diesel,2007,Mahindra
494,Tata Indigo CS,Chennai,79000,85000, Diesel,2007,Tata
495,Ford EcoSport Trend,Pune,525000,50000, Diesel,2014,Ford
496,Honda Jazz VX,Pune,565000,53000, Petrol,2016,Honda
497,Maruti Suzuki Wagon,Pune,435000,27000, Petrol,2016,Maruti
498,Maruti Suzuki Wagon,Pune,425000,52000, Petrol,2016,Maruti
499,Honda City ZX,Chennai,250000,149000, Petrol,2007,Honda
500,Hyundai Grand i10,Bangalore,616599,27317, Petrol ,2017,Hyundai
501,Hyundai Xcent -,Bangalore,466599,79784, Petrol ,2014,Hyundai
502,Audi Q3 -,Chennai,1656999,73656, Diesel ,2015,Audi
503,Tata Tiago -,Bangalore,562999,27664, Petrol ,2018,Tata
504,Hyundai Verna FLUIDIC,Bangalore,488899,41898, Petrol ,2012,Hyundai
505,Maruti Suzuki S,Chennai,514599,4889, Petrol ,2021,Maruti
506,Hyundai Grand i10,Chennai,495299,39836, Petrol ,2015,Hyundai
507,Honda Jazz -,Bangalore,752399,16108, Petrol ,2016,Honda
508,Hyundai Grand i10,Bangalore,474799,46111, Petrol ,2015,Hyundai
509,Maruti Suzuki Ciaz,Bangalore,849599,23761, Petrol ,2018,Maruti
510,Maruti Suzuki S,Bangalore,663199,146782, Diesel ,2016,Maruti
511,Hyundai Grand i10,Bangalore,566699,26597, Petrol ,2016,Hyundai
512,Maruti Suzuki Eeco,Chennai,471199,12323, Petrol ,2018,Maruti
513,Renault Kwid RXL,Bangalore,385499,3230, Petrol ,2017,Renault
514,Maruti Suzuki Swift,Chennai,491599,62059, Petrol ,2016,Maruti
515,Maruti Suzuki Baleno,Bangalore,725699,28188, Petrol ,2019,Maruti
516,Maruti Suzuki Wagon,Pune,350000,55000, Petrol,2013,Maruti
517,Maruti Suzuki SX4,Pune,210000,79000, Petrol,2009,Maruti
518,Tata Tiago XZA,Pune,460000,55000, Petrol,2017,Tata
519,BMW 5 Series,NaviMumbai,990000,49000, Petrol ,2010,BMW
520,Tata Indica Vista,Bangalore,190000,56000, Petrol,2009,Tata
521,Maruti Suzuki Ertiga,Pune,625000,83000, Petrol,2014,Maruti
522,Maruti Suzuki Baleno,Chennai,590000,39226, Petrol,2016,Maruti
523,Maruti Suzuki Swift,Chennai,740000,33901, Petrol,2019,Maruti
524,Hyundai Grand i10,Bangalore,640099,32877, Petrol ,2019,Hyundai
525,Maruti Suzuki Ignis,Chennai,575099,17283, Petrol ,2019,Maruti
526,Maruti Suzuki Ertiga,Bangalore,1081899,86033, Diesel ,2018,Maruti
527,Volkswagen Polo -,Bangalore,726399,17419, Petrol ,2018,Volkswagen
528,Maruti Suzuki Eeco,Bangalore,480399,24416, Petrol ,2019,Maruti
529,Renault Kwid RxL,Bangalore,369599,26700, Petrol ,2017,Renault
530,Maruti Suzuki Swift,Bangalore,451399,28979, Petrol ,2014,Maruti
531,Maruti Suzuki Eeco,Bangalore,494099,27150, Petrol ,2019,Maruti
532,Ford EcoSport -,Bangalore,1240899,3195, Petrol ,2020,Ford
533,Hyundai Eon Era,Bangalore,286199,26761, Petrol ,2013,Hyundai
534,Hyundai Grand i10,Bangalore,509399,71992, Petrol ,2017,Hyundai
535,Maruti Suzuki Alto,Bangalore,378099,27239, Petrol ,2016,Maruti
536,Honda Jazz -,Chennai,586699,36244, Petrol ,2016,Honda
537,Maruti Suzuki Vitara,Pune,906899,69807, Diesel ,2019,Maruti
538,Maruti Suzuki Vitara,Pune,882199,31803, Diesel ,2019,Maruti
539,Honda Jazz -,Bangalore,507999,92373, Petrol ,2015,Honda
540,Toyota Etios GD,Gurgaon,240000,200000, Diesel,2013,Toyota
541,Ford EcoSport Titanium,Bangalore,825000,46000, Diesel,2016,Ford
542,Toyota Innova 2.5,Bangalore,845000,179000, Diesel,2011,Toyota
543,Hyundai Grand i10,Bangalore,475000,59000, Petrol,2016,Hyundai
544,Hyundai Creta 1.6,Bangalore,1325000,72000, Diesel,2017,Hyundai
545,Hyundai Creta 1.6,Bangalore,1245000,56000, Diesel,2017,Hyundai
546,Mahindra XUV 500,Bangalore,975000,87000, Diesel,2014,Mahindra
547,Maruti Suzuki Vitara,Pune,782999,59612, Diesel ,2016,Maruti
548,Ford Ecosport -,Bangalore,623399,30212, Petrol ,2014,Ford
549,Maruti Suzuki Ignis,Chennai,548699,18113, Petrol ,2018,Maruti
550,Maruti Suzuki Alto,Bangalore,397099,48435, Petrol ,2018,Maruti
551,Maruti Suzuki Wagon,Bangalore,392099,29297, Petrol ,2015,Maruti
552,Maruti Suzuki Wagon,Bangalore,354599,53525, Petrol ,2012,Maruti
553,Honda Amaze -,Bangalore,719599,15890, Petrol ,2018,Honda
554,Honda WR V,Bangalore,834099,31694, Petrol ,2019,Honda
555,Maruti Suzuki Alto,Chennai,365899,36279, Petrol ,2017,Maruti
556,Hyundai i10 Sportz,Chennai,400899,33349, Petrol ,2015,Hyundai
557,Toyota Etios Liva,Chennai,320199,103182, Petrol ,2012,Toyota
558,Hyundai Xcent S,Chennai,457399,63048, Petrol ,2016,Hyundai
559,Maruti Suzuki Baleno,Chennai,717699,26358, Petrol ,2017,Maruti
560,Maruti Suzuki Wagon,Chennai,417299,18932, Petrol ,2017,Maruti
561,Maruti Suzuki Alto,Pune,323199,20369, Petrol ,2018,Maruti
562,Honda Jazz 1.2,Bangalore,633999,58769, Petrol ,2016,Honda
563,Ford EcoSport Trend,Pune,600000,52000, Diesel,2016,Ford
564,Volkswagen Polo Highline,Bangalore,795000,15000, Petrol,2019,Volkswagen
565,Maruti Suzuki Vitara,Pune,1000000,70000, Diesel,2019,Maruti
566,Hyundai i20 Asta,Pune,385000,52000, Petrol,2012,Hyundai
567,Hyundai i20 Asta,Pune,395000,32000, Petrol,2013,Hyundai
568,Toyota Fortuner 3.0,Chennai,1750000,155000, Diesel,2015,Toyota
569,Maruti Suzuki Swift,Chennai,600000,50000, Petrol,2017,Maruti
570,Mahindra Verito Executive,Kurnool,330000,120000, Diesel,2015,Mahindra
571,Hyundai Creta 1.6,Chennai,875999,123920, Diesel ,2017,Hyundai
572,Hyundai EON -,Pune,309399,17900, Petrol ,2016,Hyundai
573,Maruti Suzuki Baleno,Bangalore,658999,31041, Petrol ,2017,Maruti
574,Maruti Suzuki Wagon,Chennai,514099,61875, Petrol ,2018,Maruti
575,Hyundai Elite i20,Chennai,672899,29210, Petrol ,2016,Hyundai
576,Mahindra TUV300 -,Pune,620099,35826, Diesel ,2016,Mahindra
577,Ford Freestyle -,Bangalore,733999,29364, Petrol ,2019,Ford
578,Renault Triber -,Chennai,664699,16304, Petrol ,2021,Renault
579,Maruti Suzuki Swift,Chennai,454299,95731, Petrol ,2015,Maruti
580,Maruti Suzuki Swift,Bangalore,357499,31011, Petrol ,2010,Maruti
581,Maruti Suzuki Swift,Pune,447599,30601, Petrol ,2014,Maruti
582,Maruti Suzuki S,Bangalore,422299,14568, Petrol ,2019,Maruti
583,Toyota Etios V,Bangalore,449699,89559, Petrol ,2012,Toyota
584,Hyundai Grand i10,Bangalore,493499,48834, Petrol ,2014,Hyundai
585,Hyundai Elite i20,Chennai,605699,74190, Diesel ,2014,Hyundai
586,Ford EcoSport Titanium,Bangalore,755099,43077, Petrol ,2016,Ford
587,Maruti Suzuki Swift,Chennai,490000,58000, Petrol,2015,Maruti
588,Honda City 1.5,Chennai,450000,99000, Petrol,2011,Honda
589,Tata Indigo CS,Bangalore,160000,88500, Diesel,2009,Tata
590,Chevrolet Beat LT,Bangalore,215000,85000, Diesel,2012,Chevrolet
591,Honda City ZX,Pune,1150000,29000, Petrol,2019,Honda
592,Maruti Suzuki Wagon,Bangalore,349000,65000, Petrol,2015,Maruti
593,MG Motors Hector,Surat,1401000,16000, Petrol ,2020,MG
594,MG Motors Hector,Ahmedabad,1401000,16000, Petrol ,2020,MG
595,Maruti Suzuki Eeco,Bangalore,432699,17981, Petrol ,2018,Maruti
596,Maruti Suzuki Eeco,Chennai,418599,20780, Petrol ,2018,Maruti
597,Maruti Suzuki Alto,Chennai,275799,56719, Petrol ,2014,Maruti
598,Maruti Suzuki Wagon,Bangalore,456199,31108, Petrol ,2015,Maruti
599,Honda City -,Chennai,728499,33611, Petrol ,2016,Honda
600,Maruti Suzuki Alto,Chennai,431599,43700, Petrol ,2019,Maruti
601,Maruti Suzuki Ignis,Pune,533099,49920, Petrol ,2017,Maruti
602,Maruti Suzuki Swift,Bangalore,451399,57338, Petrol ,2014,Maruti
603,Hyundai Venue S,Bangalore,840699,23096, Petrol ,2020,Hyundai
604,Maruti Suzuki Swift,Chennai,486499,48732, Petrol ,2016,Maruti
605,Honda City -,Pune,450199,67924, Petrol ,2012,Honda
606,Maruti Suzuki Wagon,Chennai,418999,30418, Petrol ,2014,Maruti
607,Honda City -,Chennai,621299,50593, Petrol ,2014,Honda
608,Hyundai i20 Active,Chennai,508399,136381, Petrol ,2016,Hyundai
609,Maruti Suzuki Celerio,Pune,390999,46943, Petrol ,2015,Maruti
610,Maruti Suzuki Swift,Bangalore,675099,36277, Petrol ,2017,Maruti
611,BMW X5 xDrive30d,Madurai,3600000,110000, Diesel,2014,BMW
612,Kia Seltos HTX,Surat,1501000,5600, Diesel ,2021,Kia
613,Maruti Suzuki Swift,Madurai,825000,44000, Diesel,2019,Maruti
614,Maruti Suzuki Ertiga,Madurai,1100000,40000, Petrol,2019,Maruti
615,Kia Seltos HTX,Ahmedabad,1501000,5600, Diesel ,2021,Kia
616,Maruti Suzuki Wagon,Ahmedabad,130000,45000, Petrol ,2007,Maruti
617,Toyota Etios GD,Chennai,325000,150000, Diesel,2012,Toyota
618,Tata Indigo CS,Chennai,210000,90000, Diesel,2016,Tata
619,Hyundai Xcent -,Chennai,464199,70359, Diesel ,2015,Hyundai
620,Hyundai EON Era,Chennai,343999,42205, Petrol ,2017,Hyundai
621,Nissan Micra -,Chennai,441499,60539, Petrol ,2015,Nissan
622,Maruti Suzuki Dzire,Bangalore,684999,16533, Petrol ,2019,Maruti
623,Volkswagen Polo -,Pune,815399,26596, Petrol ,2017,Volkswagen
624,Hyundai Grand i10,Pune,468999,30912, Petrol ,2016,Hyundai
625,Hyundai Venue -,Bangalore,1194799,17951, Diesel ,2019,Hyundai
626,Volkswagen Polo -,Bangalore,599899,36928, Petrol ,2015,Volkswagen
627,Maruti Suzuki Dzire,Bangalore,710199,22854, Petrol ,2018,Maruti
628,Hyundai i20 -,Bangalore,474399,89156, Petrol ,2014,Hyundai
629,Maruti Suzuki Baleno,Chennai,701399,41999, Petrol ,2019,Maruti
630,Honda City -,Chennai,834599,66145, Petrol ,2017,Honda
631,Maruti Suzuki Alto,Bangalore,333699,29157, Petrol ,2017,Maruti
632,Hyundai EON Era,Chennai,349799,33882, Petrol ,2017,Hyundai
633,Hyundai EON Era,Bangalore,286199,29379, Petrol ,2013,Hyundai
634,Maruti Suzuki Alto,Bangalore,386699,17352, Petrol ,2019,Maruti
635,Toyota Fortuner 3.0,Chennai,1050000,195000, Diesel,2011,Toyota
636,Maruti Suzuki Swift,Chennai,695000,16189, Petrol,2020,Maruti
637,Maruti Suzuki Swift,Chennai,695000,41341, Diesel,2018,Maruti
638,Tata Tiago Revotorq,Pune,550000,62000, Diesel,2019,Tata
639,Hyundai Creta 1.6,Delhi,1300000,19000, Diesel ,2021,Hyundai
640,Maruti Suzuki Ritz,Jaipur,225000,56000, Petrol,2011,Maruti
641,Maruti Suzuki Wagon,Chennai,250000,91000, Petrol,2010,Maruti
642,Renault Triber -,Bangalore,659199,13486, Petrol ,2019,Renault
643,Hyundai Grand i10,Chennai,572599,33562, Petrol ,2018,Hyundai
644,Hyundai Verna -,Pune,1171199,13691, Petrol ,2018,Hyundai
645,Hyundai Grand i10,Bangalore,557199,31980, Petrol ,2017,Hyundai
646,Hyundai Grand i10,Chennai,531399,69526, Petrol ,2016,Hyundai
647,Maruti Suzuki Alto,Bangalore,426199,21492, Petrol ,2016,Maruti
648,Maruti Suzuki Celerio,Chennai,432999,47425, Petrol ,2016,Maruti
649,Hyundai Grand i10,Pune,458399,40988, Petrol ,2016,Hyundai
650,Jeep Compass -,Chennai,1465199,51983, Diesel ,2018,Jeep
651,Maruti Suzuki Vitara,Pune,783099,69376, Diesel ,2018,Maruti
652,Maruti Suzuki Swift,Chennai,562399,33094, Petrol ,2017,Maruti
653,Tata Tiago -,Bangalore,529199,26237, Petrol ,2017,Tata
654,Honda Brio -,Bangalore,447199,42415, Petrol ,2015,Honda
655,Hyundai Creta -,Pune,944099,112308, Diesel ,2016,Hyundai
656,Maruti Suzuki Celerio,Bangalore,452099,61427, Petrol ,2017,Maruti
657,MG Motors Hector,Bangalore,1917599,10205, Diesel ,2019,MG
658,Maruti Suzuki Alto,Chennai,179000,67000, Petrol,2011,Maruti
659,Toyota Innova 2.5,Chennai,775000,160000, Diesel,2010,Toyota
660,Maruti Suzuki Ertiga,Kolkata,425000,53000, Diesel,2013,Maruti
661,Maruti Suzuki Swift,Hyderabad,550000,59888, Petrol,2017,Maruti
662,Maruti Suzuki Ciaz,Hyderabad,795000,58492, Petrol ,2018,Maruti
663,Honda City 1.5,Kolkata,350888,45000, Petrol ,2011,Honda
664,Maruti Suzuki Swift,Kolkata,275000,48000, Diesel,2012,Maruti
665,Tata Nexon XZ,Chennai,890000,34000, Petrol,2018,Tata
666,Maruti Suzuki Swift,Chennai,580599,75691, Diesel ,2017,Maruti
667,Maruti Suzuki Alto,Chennai,223299,84301, Petrol ,2013,Maruti
668,Tata Tiago -,Bangalore,600399,38346, Petrol ,2019,Tata
669,Maruti Suzuki Alto,Chennai,367399,41530, Petrol ,2017,Maruti
670,Ford Ecosport -,Pune,704099,23049, Petrol ,2017,Ford
671,Maruti Suzuki Wagon,Bangalore,377899,74510, Petrol ,2016,Maruti
672,Maruti Suzuki Wagon,Bangalore,458699,20141, Petrol ,2016,Maruti
673,Ford Ecosport -,Chennai,566199,85860, Petrol ,2015,Ford
674,Maruti Suzuki Swift,Pune,594599,63133, Diesel ,2017,Maruti
675,Maruti Suzuki Dzire,Bangalore,678699,71894, Petrol ,2018,Maruti
676,Renault Duster -,Bangalore,883099,95627, Diesel ,2017,Renault
677,Ford Ecosport -,Pune,578099,75324, Diesel ,2014,Ford
678,Maruti Suzuki Alto,Pune,305899,64611, Petrol ,2015,Maruti
679,Maruti Suzuki Celerio,Bangalore,457399,77128, Petrol ,2016,Maruti
680,Maruti Suzuki Alto,Bangalore,316799,36306, Petrol ,2016,Maruti
681,Hyundai i20 Asta,Bangalore,399999,83803, Petrol ,2011,Hyundai
682,Mahindra XUV 500,Mumbai,1100000,44000, Diesel ,2018,Mahindra
683,Mahindra KUV100 K4,Chennai,325000,108000, Diesel,2018,Mahindra
684,Hyundai i20 Era,Chennai,550000,55000, Diesel,2018,Hyundai
685,Honda City 1.5,Kolkata,990888,700, Petrol ,2020,Honda
686,Mahindra Jeep CL,Ahmedabad,480000,25, Diesel,2020,Mahindra
687,Maruti Suzuki Gypsy,Hyderabad,500000,258, Petrol,2018,Maruti
688,Maruti Suzuki Swift,Chennai,390000,81152, Diesel,2011,Maruti
689,Toyota Fortuner 3.0,Chennai,1750000,155000, Diesel,2015,Toyota
690,Hyundai i20 Asta,Bangalore,399999,83803, Petrol ,2011,Hyundai
691,Hyundai Creta 1.6,Chennai,841499,75398, Petrol ,2017,Hyundai
692,Honda City ZX,Bangalore,1016899,42317, Petrol ,2017,Honda
693,Maruti Suzuki Swift,Bangalore,748599,60214, Diesel ,2018,Maruti
694,Maruti Suzuki Swift,Pune,622099,58861, Diesel ,2017,Maruti
695,Volkswagen Polo -,Pune,530699,27995, Petrol ,2016,Volkswagen
696,Maruti Suzuki Celerio,Bangalore,471899,61018, Petrol ,2017,Maruti
697,Maruti Suzuki Swift,Chennai,505399,67109, Petrol ,2015,Maruti
698,Maruti Suzuki Wagon,Chennai,460299,81811, Petrol ,2017,Maruti
699,Hyundai Verna 1.6,Pune,683999,27357, Petrol ,2017,Hyundai
700,Volkswagen Polo HIGHLINE1.2L,Bangalore,639699,53293, Petrol ,2018,Volkswagen
701,Maruti Suzuki Celerio,Bangalore,510499,45260, Petrol ,2017,Maruti
702,Hyundai Venue -,Pune,1185499,3139, Petrol ,2019,Hyundai
703,Maruti Suzuki Celerio,Bangalore,471899,44690, Petrol ,2017,Maruti
704,Hyundai Santro ASTA,Bangalore,579899,13858, Petrol ,2019,Hyundai
705,Maruti Suzuki Alto,Bangalore,333699,25256, Petrol ,2017,Maruti
706,Hyundai i20 Magna,Bangalore,385000,94000, Diesel,2012,Hyundai
707,Maruti Suzuki Ciaz,Delhi,590000,44100, Hybrid ,2016,Maruti
708,Honda Amaze 1.2,Kolkata,375888,47000, Petrol ,2016,Honda
709,Hyundai Santa Fe,Mumbai,775000,126000, Diesel,2012,Hyundai
710,Mahindra XUV 500,Kolkata,778888,46000, Diesel ,2015,Mahindra
711,Audi Q5 2.0,Mumbai,1850000,75000, Diesel,2014,Audi
712,Volvo XC60 D3,Mumbai,1750000,86000, Diesel ,2012,Volvo
713,Volkswagen Polo COMFORTLINE,Bangalore,582899,15227, Petrol ,2017,Volkswagen
714,Volkswagen Polo -,Chennai,414099,87375, Diesel ,2014,Volkswagen
715,Maruti Suzuki Eeco,Chennai,516599,7679, Petrol ,2020,Maruti
716,Maruti Suzuki Alto,Bangalore,366299,48378, Petrol ,2016,Maruti
717,Maruti Suzuki Wagon,Chennai,375899,54645, Petrol ,2014,Maruti
718,Maruti Suzuki Eeco,Chennai,493899,7211, Petrol ,2019,Maruti
719,Datsun Redi GO,Bangalore,311399,37217, Petrol ,2017,Datsun
720,Maruti Suzuki Eeco,Chennai,493899,32372, Petrol ,2019,Maruti
721,Maruti Suzuki Wagon,Chennai,501999,37947, Petrol ,2018,Maruti
722,Hyundai Grand i10,Pune,409399,51886, Petrol ,2014,Hyundai
723,Toyota Innova Crysta,Pune,1737899,43187, Diesel ,2018,Toyota
724,Hyundai i20 Active,Pune,583999,33616, Diesel ,2015,Hyundai
725,Volkswagen Vento -,Chennai,654299,91087, Diesel ,2015,Volkswagen
726,Ford Ecosport -,Bangalore,986699,26372, Petrol ,2018,Ford
727,Maruti Suzuki Celerio,Bangalore,414199,58762, Petrol ,2014,Maruti
728,Hyundai Elite i20,Chennai,588099,101920, Diesel ,2016,Hyundai
729,Maruti Suzuki Swift,Jaipur,490000,44000, Petrol,2014,Maruti
730,Mahindra Scorpio 2.6,Jaipur,225000,85000, Diesel,2007,Mahindra
